"Outcome","Model","k_Studies","n_Observations","n_Outliers","Pooled_Effect_lnRR","Percent_Change","CI_Lower_95","CI_Upper_95","SE","Z_value","P_value","Tau2","I2_percent","Cochran_Q","Q_P_value","Egger_Z","Egger_P","Trimfill_Studies","Method","Fail_Safe_N","Alpha","Interpretation"
"TSS","Nested (All Data)",13,184,5,0.0942,9.88,0.0358,0.1526,0.0298,3.1627,0.0016,0.0157,80.9,1294.2488,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","423 / 13","0.05","Very Robust / Not Robust"
"TSS","Nested (Outliers Removed)",13,179,5,0.0833,8.69,0.043,0.1237,0.0206,4.0446,1e-04,0.0095,72.4,1030.7162,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","345 / 13","0.05","Very Robust / Not Robust"
"TWP","Nested (All Data)",16,153,15,0.1704,18.58,-0.0103,0.351,0.0922,1.8487,0.0645,0.1618,98.4,12558.6846,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","7150 / 16","0.05","Very Robust / Not Robust"
"TWP","Nested (Outliers Removed)",13,138,15,0.1414,15.19,0.057,0.2259,0.0431,3.282,0.001,0.0324,92.79,3334.6756,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","2210 / 13","0.05","Very Robust / Not Robust"
"TWP","Study-Level (All Data)",16,16,15,0.1802,19.74,-0.0092,0.3695,0.0966,1.8649,0.0622,0.1476,99.46,1621.789,0,-4.0706,0,0,"Rosenthal / Orwin","7150 / 16","0.05","Very Robust / Not Robust"
"TWP","Study-Level (Outliers Removed)",13,13,15,0.1583,17.16,0.076,0.2407,0.042,3.7688,2e-04,0.0217,96.48,323.9528,0,-1.9622,0.0497,0,"Rosenthal / Orwin","2210 / 13","0.05","Very Robust / Not Robust"
"TY","Nested (All Data)",47,431,56,0.146,15.71,0.009,0.2829,0.0699,2.0894,0.0367,0.2828,97.22,20807.8684,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","6543 / 47","0.05","Very Robust / Not Robust"
"TY","Nested (Outliers Removed)",44,375,56,0.1076,11.36,0.0354,0.1798,0.0368,2.9204,0.0035,0.0816,93,11204.7971,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","4292 / 44","0.05","Very Robust / Not Robust"
"TY","Study-Level (All Data)",47,47,56,0.1447,15.56,0.0175,0.2718,0.0649,2.2299,0.0258,0.1926,98.87,2193.711,0,1.1492,0.2505,0,"Rosenthal / Orwin","6543 / 47","0.05","Very Robust / Not Robust"
"VC","Nested (All Data)",8,152,10,0.0793,8.26,-0.0104,0.169,0.0458,1.7338,0.083,0.0223,96.24,2911.1101,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","404 / 8","0.05","Very Robust / Not Robust"
"VC","Nested (Outliers Removed)",7,142,10,0.1215,12.92,0.1035,0.1396,0.0092,13.2228,0,0.0025,74.82,1469.6522,0,NA,NA,NA,"Rosenthal (Study-Level Approximation) / Orwin (Study-Level Approximation)","585 / 7","0.05","Very Robust / Not Robust"
"VC","Study-Level (All Data)",8,8,10,0.0784,8.15,-0.014,0.1707,0.0471,1.6634,0.0962,0.017,97.28,156.8146,0,-0.3876,0.6983,0,"Rosenthal / Orwin","404 / 8","0.05","Very Robust / Not Robust"
"VC","Study-Level (Outliers Removed)",7,7,10,0.1181,12.53,0.0951,0.141,0.0117,10.0756,0,4e-04,49.73,11.5895,0.0718,-0.0727,0.9421,0,"Rosenthal / Orwin","585 / 7","0.05","Very Robust / Not Robust"
