"Outcome","Moderator","Moderator_Display","Level","n_effects","n_studies","B_Coefficient","Estimate_lnRR","Estimate_Percent","SE","CI_Lower","CI_Upper","Z_value","P_Value","Omnibus_QM","Omnibus_P","Model"
"TY","GN","Nitrogen","100–200",89,12,0.1066,0.1066,11.25,0.0507,0.0072,0.206,2.1015,0.0356,5.1121,0.276,"Nested (Outliers Removed)"
"TY","GN","Nitrogen","200–300",25,5,0.0907,0.0907,9.5,0.0538,-0.0148,0.1962,1.6857,0.0919,5.1121,0.276,"Nested (Outliers Removed)"
"TY","Continent","Continent","Africa",201,20,-0.0628,-0.0628,-6.09,0.1248,-0.3073,0.1817,-0.5033,0.6148,20.7844,0.002,"Nested (Outliers Removed)"
"TY","Continent","Continent","Asia",106,14,0.1025,0.1025,10.79,0.0505,0.0036,0.2014,2.0311,0.0422,20.7844,0.002,"Nested (Outliers Removed)"
"TY","Continent","Continent","Europe",44,3,0.0979,0.0979,10.29,0.1438,-0.1839,0.3797,0.6808,0.496,20.7844,0.002,"Nested (Outliers Removed)"
"TY","Continent","Continent","North America",7,3,0.2289,0.2289,25.73,0.0615,0.1084,0.3495,3.7212,2e-04,20.7844,0.002,"Nested (Outliers Removed)"
"TY","Continent","Continent","Oceania",13,3,-0.1143,-0.1143,-10.8,0.1369,-0.3826,0.154,-0.8351,0.4037,20.7844,0.002,"Nested (Outliers Removed)"
"TY","Continent","Continent","South America",4,1,-0.2691,-0.2691,-23.6,0.2277,-0.7154,0.1771,-1.1821,0.2372,20.7844,0.002,"Nested (Outliers Removed)"
"MY","GMM","Mulch material","biodegradable film",390,37,0.233,0.233,26.24,0.0923,0.052,0.414,2.5235,0.0116,7.6356,0.1059,"Nested (Outliers Removed)"
"MY","GMM","Mulch material","organic",64,8,0.1356,0.1356,14.52,0.0805,-0.0223,0.2934,1.6834,0.0923,7.6356,0.1059,"Nested (Outliers Removed)"
"MY","GMM","Mulch material","paper",29,4,0.2037,0.2037,22.6,0.113,-0.0178,0.4253,1.8022,0.0715,7.6356,0.1059,"Nested (Outliers Removed)"
"MY","GMM","Mulch material","polyethylene",9,3,0.0796,0.0796,8.29,0.0483,-0.0149,0.1742,1.6502,0.0989,7.6356,0.1059,"Nested (Outliers Removed)"
"MY","GMC","Mulch color","Black",15,2,0.1049,0.1049,11.05,0.0661,-0.0248,0.2345,1.5853,0.1129,13.0286,0.0111,"Nested (Outliers Removed)"
"MY","GMC","Mulch color","Brown",105,7,0.088,0.088,9.2,0.1176,-0.1426,0.3186,0.7478,0.4546,13.0286,0.0111,"Nested (Outliers Removed)"
"MY","GMC","Mulch color","Transparent",251,27,-0.1952,-0.1952,-17.73,0.2501,-0.6855,0.295,-0.7804,0.4352,13.0286,0.0111,"Nested (Outliers Removed)"
"MY","GMC","Mulch color","White",9,3,0.2874,0.2874,33.29,0.0842,0.1224,0.4523,3.4145,6e-04,13.0286,0.0111,"Nested (Outliers Removed)"
"MY","Gem","Emitter flow rate","<2",223,13,0.0416,0.0416,4.25,0.1433,-0.2393,0.3226,0.2903,0.7716,0.1461,0.9858,"Nested (Outliers Removed)"
"MY","Gem","Emitter flow rate",">4",16,6,-0.0083,-0.0083,-0.83,0.3038,-0.6038,0.5872,-0.0273,0.9782,0.1461,0.9858,"Nested (Outliers Removed)"
"MY","Gem","Emitter flow rate","2–4",7,1,0.0201,0.0201,2.03,0.0814,-0.1395,0.1797,0.2472,0.8048,0.1461,0.9858,"Nested (Outliers Removed)"
"MY","Arragement","Arragement","subsurface",470,40,0.228,0.228,25.61,0.1062,0.0199,0.4361,2.1476,0.0317,6.3506,0.0418,"Nested (Outliers Removed)"
"MY","Arragement","Arragement","surface",22,3,0.0909,0.0909,9.52,0.0466,-5e-04,0.1824,1.9501,0.0512,6.3506,0.0418,"Nested (Outliers Removed)"
"MY","GST","Soil texture","coarse soils",112,11,0.1522,0.1522,16.44,0.0674,0.0201,0.2842,2.2583,0.0239,5.2064,0.1573,"Nested (Outliers Removed)"
"MY","GST","Soil texture","fine soils",228,18,0.0222,0.0222,2.25,0.1017,-0.177,0.2215,0.2186,0.827,5.2064,0.1573,"Nested (Outliers Removed)"
"MY","GST","Soil texture","medium soils",96,9,0.0834,0.0834,8.7,0.0806,-0.0746,0.2414,1.0347,0.3008,5.2064,0.1573,"Nested (Outliers Removed)"
"MY","GpH","Soil pH","<7",153,10,-0.0896,-0.0896,-8.57,0.0873,-0.2607,0.0814,-1.0268,0.3045,6.9679,0.0307,"Nested (Outliers Removed)"
"MY","GpH","Soil pH","≥7",78,10,0.1092,0.1092,11.54,0.0878,-0.0629,0.2814,1.244,0.2135,6.9679,0.0307,"Nested (Outliers Removed)"
"MY","GSOM","Soil organic matter","< 1.5%",40,7,-0.0819,-0.0819,-7.86,0.097,-0.2721,0.1083,-0.8441,0.3986,0.7126,0.7003,"Nested (Outliers Removed)"
"MY","GSOM","Soil organic matter","≥ 1.5%",21,4,-0.0016,-0.0016,-0.16,0.1228,-0.2422,0.2391,-0.0127,0.9899,0.7126,0.7003,"Nested (Outliers Removed)"
"MY","Gbd","Soil bulk density","<1.35",127,12,-0.05,-0.05,-4.87,0.0863,-0.2191,0.1192,-0.579,0.5626,5.1586,0.0758,"Nested (Outliers Removed)"
"MY","Gbd","Soil bulk density","≥ 1.35",64,3,-0.1078,-0.1078,-10.22,0.0491,-0.204,-0.0116,-2.1962,0.0281,5.1586,0.0758,"Nested (Outliers Removed)"
"MY","GCLI","Climate zone","Arid",165,12,0.1308,0.1308,13.97,0.0782,-0.0226,0.2841,1.6715,0.0946,4.8295,0.3052,"Nested (Outliers Removed)"
"MY","GCLI","Climate zone","Boreal",292,26,0.023,0.023,2.33,0.2136,-0.3956,0.4417,0.1079,0.9141,4.8295,0.3052,"Nested (Outliers Removed)"
"MY","GCLI","Climate zone","Equatorial",17,2,-0.0034,-0.0034,-0.34,0.1774,-0.3511,0.3443,-0.0192,0.9847,4.8295,0.3052,"Nested (Outliers Removed)"
"MY","GCLI","Climate zone","Warm temperate",18,3,0.1023,0.1023,10.77,0.0569,-0.0093,0.2139,1.7966,0.0724,4.8295,0.3052,"Nested (Outliers Removed)"
"MY","GSRain","Rainfall",">500 ",127,18,-0.2921,-0.2921,-25.33,0.0964,-0.481,-0.1033,-3.0316,0.0024,20.8289,1e-04,"Nested (Outliers Removed)"
"MY","GSRain","Rainfall","≤200",88,12,-0.0215,-0.0215,-2.12,0.0631,-0.1451,0.1021,-0.3405,0.7335,20.8289,1e-04,"Nested (Outliers Removed)"
"MY","GSRain","Rainfall","200–500",13,3,0.057,0.057,5.87,0.0669,-0.0741,0.1881,0.8526,0.3939,20.8289,1e-04,"Nested (Outliers Removed)"
"MY","GN","Nitrogen","<100",155,13,-0.0082,-0.0082,-0.82,0.0755,-0.1561,0.1397,-0.1085,0.9136,8.509,0.0746,"Nested (Outliers Removed)"
"MY","GN","Nitrogen",">300",93,11,0.1711,0.1711,18.67,0.1101,-0.0447,0.3869,1.5544,0.1201,8.509,0.0746,"Nested (Outliers Removed)"
"MY","GN","Nitrogen","100–200",110,13,0.0404,0.0404,4.13,0.064,-0.085,0.1659,0.6318,0.5275,8.509,0.0746,"Nested (Outliers Removed)"
"MY","GN","Nitrogen","200–300",16,3,0.1668,0.1668,18.16,0.0642,0.041,0.2927,2.5976,0.0094,8.509,0.0746,"Nested (Outliers Removed)"
"MY","Continent","Continent","Africa",119,7,-0.0194,-0.0194,-1.92,0.1636,-0.3399,0.3012,-0.1185,0.9057,30.5118,0,"Nested (Outliers Removed)"
"MY","Continent","Continent","Asia",278,28,-0.2169,-0.2169,-19.5,0.0853,-0.3842,-0.0497,-2.5429,0.011,30.5118,0,"Nested (Outliers Removed)"
"MY","Continent","Continent","Europe",38,2,0.4181,0.4181,51.91,0.1192,0.1845,0.6517,3.5079,5e-04,30.5118,0,"Nested (Outliers Removed)"
"MY","Continent","Continent","North America",55,4,0.1569,0.1569,16.98,0.0458,0.0671,0.2466,3.4243,6e-04,30.5118,0,"Nested (Outliers Removed)"
"MY","Continent","Continent","Oceania",2,1,0.0049,0.0049,0.49,0.2812,-0.5463,0.5561,0.0175,0.9861,30.5118,0,"Nested (Outliers Removed)"
"TWP","GMM","Mulch material","biodegradable film",90,12,0.1246,0.1246,13.27,0.0876,-0.0472,0.2964,1.4217,0.1551,13.3662,0.0039,"Nested (Outliers Removed)"
"TWP","GMM","Mulch material","organic",40,2,0.0588,0.0588,6.06,0.0687,-0.0759,0.1935,0.8556,0.3922,13.3662,0.0039,"Nested (Outliers Removed)"
"TWP","GMM","Mulch material","polyethylene",8,1,0.1496,0.1496,16.14,0.046,0.0594,0.2398,3.2501,0.0012,13.3662,0.0039,"Nested (Outliers Removed)"
"TWP","GMC","Mulch color","Black",37,5,0.1673,0.1673,18.21,0.0399,0.0891,0.2455,4.1918,0,18.1392,4e-04,"Nested (Outliers Removed)"
"TWP","GMC","Mulch color","Transparent",52,8,0.1266,0.1266,13.5,0.0433,0.0417,0.2116,2.9217,0.0035,18.1392,4e-04,"Nested (Outliers Removed)"
"TWP","GMC","Mulch color","White",40,2,0.0201,0.0201,2.03,0.076,-0.1288,0.169,0.2648,0.7912,18.1392,4e-04,"Nested (Outliers Removed)"
"TWP","Gem","Emitter flow rate","<2",41,6,0.1133,0.1133,12,0.079,-0.0416,0.2682,1.4336,0.1517,9.84,0.0073,"Nested (Outliers Removed)"
"TWP","Gem","Emitter flow rate","2–4",45,3,0.1585,0.1585,17.18,0.0568,0.0472,0.2699,2.7901,0.0053,9.84,0.0073,"Nested (Outliers Removed)"
"TWP","Arragement","Arragement","subsurface",130,13,0.3399,0.3399,40.48,0.0657,0.2112,0.4686,5.1759,0,26.9898,0,"Nested (Outliers Removed)"
"TWP","Arragement","Arragement","surface",8,1,0.1352,0.1352,14.47,0.0449,0.0472,0.2231,3.0116,0.0026,26.9898,0,"Nested (Outliers Removed)"
"TWP","GST","Soil texture","coarse soils",72,7,0.1842,0.1842,20.22,0.0931,0.0017,0.3667,1.9778,0.048,8.167,0.0427,"Nested (Outliers Removed)"
"TWP","GST","Soil texture","fine soils",45,3,0.0757,0.0757,7.86,0.1128,-0.1453,0.2967,0.6712,0.5021,8.167,0.0427,"Nested (Outliers Removed)"
"TWP","GST","Soil texture","medium soils",20,2,0.1203,0.1203,12.78,0.0617,-6e-04,0.2411,1.9506,0.0511,8.167,0.0427,"Nested (Outliers Removed)"
"TWP","GSOM","Soil organic matter","< 1.5%",57,4,0.2365,0.2365,26.68,0.0412,0.1557,0.3172,5.7385,0,46.0358,0,"Nested (Outliers Removed)"
"TWP","GSOM","Soil organic matter","≥ 1.5%",16,2,0.1046,0.1046,11.02,0.0289,0.0479,0.1612,3.6201,3e-04,46.0358,0,"Nested (Outliers Removed)"
"TWP","GECe","Soil salinity","<2",79,6,0.057,0.057,5.87,0.0567,-0.0542,0.1682,1.005,0.3149,5.4938,0.0641,"Nested (Outliers Removed)"
"TWP","GECe","Soil salinity","4–8",1,1,0.3665,0.3665,44.26,0.1731,0.0273,0.7057,2.1175,0.0342,5.4938,0.0641,"Nested (Outliers Removed)"
"TWP","Gbd","Soil bulk density","<1.35",104,6,0.202,0.202,22.38,0.0943,0.0172,0.3868,2.1419,0.0322,5.721,0.0572,"Nested (Outliers Removed)"
"TWP","Gbd","Soil bulk density","≥ 1.35",6,2,0.0502,0.0502,5.15,0.0472,-0.0423,0.1428,1.0645,0.2871,5.721,0.0572,"Nested (Outliers Removed)"
"TWP","GCLI","Climate zone","Arid",120,8,0.1189,0.1189,12.63,0.0543,0.0124,0.2255,2.1886,0.0286,12.138,0.0069,"Nested (Outliers Removed)"
"TWP","GCLI","Climate zone","Equatorial",17,4,0.3665,0.3665,44.26,0.1838,0.0061,0.7268,1.9933,0.0462,12.138,0.0069,"Nested (Outliers Removed)"
"TWP","GCLI","Climate zone","Warm temperate",1,1,0.149,0.149,16.07,0.0811,-0.01,0.3079,1.8371,0.0662,12.138,0.0069,"Nested (Outliers Removed)"
"TWP","GSRain","Rainfall","≤200",44,8,0.1462,0.1462,15.75,0.054,0.0404,0.2521,2.7079,0.0068,8.6938,0.0129,"Nested (Outliers Removed)"
"TWP","GSRain","Rainfall","200–500",42,4,0.1634,0.1634,17.75,0.0595,0.0467,0.2801,2.7452,0.006,8.6938,0.0129,"Nested (Outliers Removed)"
"TWP","GN","Nitrogen","<100",23,5,0.009,0.009,0.91,0.1055,-0.1978,0.2159,0.0857,0.9317,9.148,0.0274,"Nested (Outliers Removed)"
"TWP","GN","Nitrogen","100–200",21,4,0.1654,0.1654,17.99,0.0561,0.0554,0.2755,2.9466,0.0032,9.148,0.0274,"Nested (Outliers Removed)"
"TWP","GN","Nitrogen","200–300",39,2,0.127,0.127,13.54,0.0595,0.0104,0.2435,2.1348,0.0328,9.148,0.0274,"Nested (Outliers Removed)"
"TWP","Continent","Continent","Africa",117,10,0.0891,0.0891,9.32,0.1582,-0.2209,0.3992,0.5633,0.5732,11.383,0.0226,"Nested (Outliers Removed)"
"TWP","Continent","Continent","Asia",4,1,0.1399,0.1399,15.02,0.0521,0.0379,0.242,2.6876,0.0072,11.383,0.0226,"Nested (Outliers Removed)"
"TWP","Continent","Continent","Europe",1,1,0.061,0.061,6.29,0.1651,-0.2626,0.3847,0.3696,0.7117,11.383,0.0226,"Nested (Outliers Removed)"
"TWP","Continent","Continent","North America",16,1,0.3665,0.3665,44.26,0.1904,-0.0066,0.7396,1.925,0.0542,11.383,0.0226,"Nested (Outliers Removed)"
"MWP","GMM","Mulch material","organic",39,6,0.0707,0.0707,7.33,0.0789,-0.0838,0.2253,0.8968,0.3698,5.4015,0.0672,"Nested (Outliers Removed)"
"MWP","GMM","Mulch material","polyethylene",38,2,0.1041,0.1041,10.97,0.0486,0.0089,0.1993,2.1441,0.032,5.4015,0.0672,"Nested (Outliers Removed)"
"MWP","GMC","Mulch color","Black",14,2,0.1927,0.1927,21.25,0.0655,0.0642,0.3211,2.94,0.0033,9.6614,0.008,"Nested (Outliers Removed)"
"MWP","GMC","Mulch color","Transparent",17,3,0.0721,0.0721,7.48,0.0715,-0.068,0.2122,1.0087,0.3131,9.6614,0.008,"Nested (Outliers Removed)"
"MWP","Gem","Emitter flow rate","<2",68,5,0.1489,0.1489,16.06,0.0981,-0.0433,0.3411,1.5188,0.1288,5.4868,0.0644,"Nested (Outliers Removed)"
"MWP","Gem","Emitter flow rate","2–4",5,2,0.091,0.091,9.52,0.051,-0.009,0.191,1.7832,0.0745,5.4868,0.0644,"Nested (Outliers Removed)"
"MWP","GST","Soil texture","coarse soils",18,3,-0.042,-0.042,-4.12,0.0892,-0.2168,0.1327,-0.4714,0.6373,12.7207,0.0053,"Nested (Outliers Removed)"
"MWP","GST","Soil texture","fine soils",51,4,0.1588,0.1588,17.22,0.0474,0.0659,0.2518,3.3484,8e-04,12.7207,0.0053,"Nested (Outliers Removed)"
"MWP","GST","Soil texture","medium soils",8,1,0.0611,0.0611,6.3,0.0539,-0.0445,0.1667,1.1342,0.2567,12.7207,0.0053,"Nested (Outliers Removed)"
"MWP","GSOM","Soil organic matter","< 1.5%",13,2,0.2303,0.2303,25.89,0.0786,0.0762,0.3843,2.9301,0.0034,8.8141,0.0122,"Nested (Outliers Removed)"
"MWP","GSOM","Soil organic matter","≥ 1.5%",12,2,0.0338,0.0338,3.44,0.0708,-0.1049,0.1725,0.478,0.6327,8.8141,0.0122,"Nested (Outliers Removed)"
"MWP","Gbd","Soil bulk density","<1.35",27,5,0.166,0.166,18.05,0.0657,0.0371,0.2948,2.5247,0.0116,7.3054,0.0259,"Nested (Outliers Removed)"
"MWP","Gbd","Soil bulk density","≥ 1.35",46,2,0.0473,0.0473,4.85,0.049,-0.0488,0.1435,0.965,0.3345,7.3054,0.0259,"Nested (Outliers Removed)"
"MWP","GCLI","Climate zone","Arid",53,5,0.0781,0.0781,8.12,0.0521,-0.0241,0.1802,1.4972,0.1343,5.783,0.0555,"Nested (Outliers Removed)"
"MWP","GCLI","Climate zone","Warm temperate",24,3,0.12,0.12,12.75,0.0638,-0.005,0.245,1.8819,0.0599,5.783,0.0555,"Nested (Outliers Removed)"
"MWP","GN","Nitrogen","<100",18,2,0.179,0.179,19.61,0.1509,-0.1166,0.4747,1.1869,0.2353,22.7027,0,"Nested (Outliers Removed)"
"MWP","GN","Nitrogen","100–200",1,1,0.2159,0.2159,24.1,0.0468,0.1241,0.3077,4.6099,0,22.7027,0,"Nested (Outliers Removed)"
"MWP","GN","Nitrogen","200–300",20,3,0.0086,0.0086,0.86,0.0414,-0.0726,0.0897,0.2074,0.8357,22.7027,0,"Nested (Outliers Removed)"
"MWP","Continent","Continent","Africa",34,4,0.0698,0.0698,7.23,0.0897,-0.1059,0.2456,0.7785,0.4363,4.5613,0.3353,"Nested (Outliers Removed)"
"MWP","Continent","Continent","Asia",38,2,0.0895,0.0895,9.37,0.0634,-0.0348,0.2138,1.4114,0.1581,4.5613,0.3353,"Nested (Outliers Removed)"
"MWP","Continent","Continent","Europe",1,1,0.132,0.132,14.11,0.1347,-0.1321,0.3961,0.9798,0.3272,4.5613,0.3353,"Nested (Outliers Removed)"
"MWP","Continent","Continent","North America",4,1,0.179,0.179,19.61,0.1788,-0.1713,0.5294,1.0015,0.3166,4.5613,0.3353,"Nested (Outliers Removed)"
"TSS","GMM","Mulch material","biodegradable film",138,11,0.1505,0.1505,16.24,0.0452,0.0619,0.239,3.3301,9e-04,21.6461,1e-04,"Nested (Outliers Removed)"
"TSS","GMM","Mulch material","organic",40,2,-0.0235,-0.0235,-2.33,0.1017,-0.2228,0.1757,-0.2315,0.8169,21.6461,1e-04,"Nested (Outliers Removed)"
"TSS","GMM","Mulch material","polyethylene",1,1,0.0751,0.0751,7.79,0.0214,0.033,0.1171,3.5007,5e-04,21.6461,1e-04,"Nested (Outliers Removed)"
"TSS","GMC","Mulch color","Black",34,4,0.1186,0.1186,12.59,0.0314,0.057,0.1802,3.7728,2e-04,18.1318,0.0012,"Nested (Outliers Removed)"
"TSS","GMC","Mulch color","Black/White",84,4,-0.0394,-0.0394,-3.86,0.0822,-0.2004,0.1217,-0.479,0.6319,18.1318,0.0012,"Nested (Outliers Removed)"
"TSS","GMC","Mulch color","Transparent",40,4,0.0968,0.0968,10.17,0.0322,0.0338,0.1599,3.0111,0.0026,18.1318,0.0012,"Nested (Outliers Removed)"
"TSS","GMC","Mulch color","White",3,1,0.0843,0.0843,8.8,0.0376,0.0107,0.158,2.2457,0.0247,18.1318,0.0012,"Nested (Outliers Removed)"
"TSS","Gem","Emitter flow rate","<2",39,6,0.1461,0.1461,15.73,0.0339,0.0796,0.2126,4.3055,0,27.4923,0,"Nested (Outliers Removed)"
"TSS","Gem","Emitter flow rate","2–4",48,3,0.0806,0.0806,8.4,0.0269,0.0278,0.1334,2.9924,0.0028,27.4923,0,"Nested (Outliers Removed)"
"TSS","Arragement","Arragement","subsurface",170,12,0.0824,0.0824,8.59,0.0547,-0.0248,0.1896,1.5072,0.1318,15.1192,5e-04,"Nested (Outliers Removed)"
"TSS","Arragement","Arragement","surface",9,2,0.0836,0.0836,8.72,0.0227,0.0392,0.128,3.6906,2e-04,15.1192,5e-04,"Nested (Outliers Removed)"
"TSS","GST","Soil texture","coarse soils",56,4,0.0705,0.0705,7.3,0.0292,0.0132,0.1277,2.4115,0.0159,17.9576,4e-04,"Nested (Outliers Removed)"
"TSS","GST","Soil texture","fine soils",106,7,0.0403,0.0403,4.11,0.0534,-0.0644,0.1449,0.7544,0.4506,17.9576,4e-04,"Nested (Outliers Removed)"
"TSS","GST","Soil texture","medium soils",17,2,0.123,0.123,13.08,0.0361,0.0521,0.1938,3.4019,7e-04,17.9576,4e-04,"Nested (Outliers Removed)"
"TSS","GpH","Soil pH","<7",140,6,-0.0235,-0.0235,-2.33,0.087,-0.1941,0.147,-0.2704,0.7869,7.8239,0.02,"Nested (Outliers Removed)"
"TSS","GpH","Soil pH","≥7",1,1,0.0568,0.0568,5.84,0.0204,0.0168,0.0967,2.784,0.0054,7.8239,0.02,"Nested (Outliers Removed)"
"TSS","GSOM","Soil organic matter","< 1.5%",46,3,0.0585,0.0585,6.02,0.0434,-0.0266,0.1436,1.3466,0.1781,5.8084,0.0548,"Nested (Outliers Removed)"
"TSS","GSOM","Soil organic matter","≥ 1.5%",21,3,0.0797,0.0797,8.29,0.0399,0.0015,0.1578,1.9988,0.0456,5.8084,0.0548,"Nested (Outliers Removed)"
"TSS","Gbd","Soil bulk density","<1.35",150,8,0.1519,0.1519,16.41,0.0427,0.0682,0.2357,3.5555,4e-04,23.722,0,"Nested (Outliers Removed)"
"TSS","Gbd","Soil bulk density","≥ 1.35",19,2,0.0708,0.0708,7.33,0.0213,0.0291,0.1124,3.3287,9e-04,23.722,0,"Nested (Outliers Removed)"
"TSS","GCLI","Climate zone","Arid",146,7,0.0966,0.0966,10.15,0.0244,0.0489,0.1444,3.9661,1e-04,24.9033,0,"Nested (Outliers Removed)"
"TSS","GCLI","Climate zone","Equatorial",32,5,0.2743,0.2743,31.57,0.0988,0.0807,0.468,2.7772,0.0055,24.9033,0,"Nested (Outliers Removed)"
"TSS","GCLI","Climate zone","Warm temperate",1,1,0.039,0.039,3.98,0.0323,-0.0243,0.1024,1.2085,0.2269,24.9033,0,"Nested (Outliers Removed)"
