"Model","Method","Fail_Safe_N","Alpha","Interpretation","Outcome"
"Nested (All Data)","Orwin (Study-Level Approximation)",3,0.05,"Not Robust","pH"
"Nested (Outliers Removed)","Rosenthal (Study-Level Approximation)",937,0.05,"Very Robust","pH"
"Nested (Outliers Removed)","Orwin (Study-Level Approximation)",3,0.05,"Not Robust","pH"
"Study-Level (All Data)","Rosenthal",937,0.05,"Very Robust","pH"
"Study-Level (All Data)","Orwin",3,0.05,"Not Robust","pH"
"Study-Level (Outliers Removed)","Rosenthal",937,0.05,"Very Robust","pH"
"Study-Level (Outliers Removed)","Orwin",3,0.05,"Not Robust","pH"
"Nested (All Data)","Rosenthal (Study-Level Approximation)",5,0.05,"Robust","Sugar"
"Nested (All Data)","Orwin (Study-Level Approximation)",3,0.05,"Not Robust","Sugar"
"Nested (Outliers Removed)","Rosenthal (Study-Level Approximation)",5,0.05,"Robust","Sugar"
"Nested (Outliers Removed)","Orwin (Study-Level Approximation)",3,0.05,"Not Robust","Sugar"
"Study-Level (All Data)","Rosenthal",5,0.05,"Robust","Sugar"
"Study-Level (All Data)","Orwin",3,0.05,"Not Robust","Sugar"
"Study-Level (Outliers Removed)","Rosenthal",5,0.05,"Robust","Sugar"
"Study-Level (Outliers Removed)","Orwin",3,0.05,"Not Robust","Sugar"
"Nested (All Data)","Rosenthal (Study-Level Approximation)",1078,0.05,"Very Robust","SAR"
"Nested (All Data)","Orwin (Study-Level Approximation)",6,0.05,"Not Robust","SAR"
"Nested (Outliers Removed)","Rosenthal (Study-Level Approximation)",1063,0.05,"Very Robust","SAR"
"Nested (Outliers Removed)","Orwin (Study-Level Approximation)",6,0.05,"Not Robust","SAR"
"Study-Level (All Data)","Rosenthal",1078,0.05,"Very Robust","SAR"
"Study-Level (All Data)","Orwin",6,0.05,"Not Robust","SAR"
"Study-Level (Outliers Removed)","Rosenthal",1063,0.05,"Very Robust","SAR"
"Study-Level (Outliers Removed)","Orwin",6,0.05,"Not Robust","SAR"
"Nested (All Data)","Rosenthal (Study-Level Approximation)",0,0.05,"Not Robust","Firmness"
"Nested (All Data)","Orwin (Study-Level Approximation)",2,0.05,"Not Robust","Firmness"
"Nested (Outliers Removed)","Rosenthal (Study-Level Approximation)",0,0.05,"Not Robust","Firmness"
"Nested (Outliers Removed)","Orwin (Study-Level Approximation)",2,0.05,"Not Robust","Firmness"
"Study-Level (All Data)","Rosenthal",0,0.05,"Not Robust","Firmness"
"Study-Level (All Data)","Orwin",2,0.05,"Not Robust","Firmness"
"Study-Level (Outliers Removed)","Rosenthal",0,0.05,"Not Robust","Firmness"
"Study-Level (Outliers Removed)","Orwin",2,0.05,"Not Robust","Firmness"
"Nested (All Data)","Rosenthal (Study-Level Approximation)",594,0.05,"Very Robust","Lyco"
"Nested (All Data)","Orwin (Study-Level Approximation)",4,0.05,"Not Robust","Lyco"
"Nested (Outliers Removed)","Rosenthal (Study-Level Approximation)",509,0.05,"Very Robust","Lyco"
"Nested (Outliers Removed)","Orwin (Study-Level Approximation)",4,0.05,"Not Robust","Lyco"
"Study-Level (All Data)","Rosenthal",594,0.05,"Very Robust","Lyco"
"Study-Level (All Data)","Orwin",4,0.05,"Not Robust","Lyco"
"Study-Level (Outliers Removed)","Rosenthal",509,0.05,"Very Robust","Lyco"
"Study-Level (Outliers Removed)","Orwin",4,0.05,"Not Robust","Lyco"
"Nested (All Data)","Rosenthal (Study-Level Approximation)",404,0.05,"Very Robust","VC"
"Nested (All Data)","Orwin (Study-Level Approximation)",8,0.05,"Not Robust","VC"
"Nested (Outliers Removed)","Rosenthal (Study-Level Approximation)",585,0.05,"Very Robust","VC"
"Nested (Outliers Removed)","Orwin (Study-Level Approximation)",7,0.05,"Not Robust","VC"
"Study-Level (All Data)","Rosenthal",404,0.05,"Very Robust","VC"
"Study-Level (All Data)","Orwin",8,0.05,"Not Robust","VC"
"Study-Level (Outliers Removed)","Rosenthal",585,0.05,"Very Robust","VC"
"Study-Level (Outliers Removed)","Orwin",7,0.05,"Not Robust","VC"
