"Outcome","Model","Model_Type","n_Observations","k_Studies","df","LogLikelihood","AIC","BIC","Effect_lnRR","Effect_Percent","Tau2","I2_percent","Q_statistic","Q_pvalue","AIC_Rank","BIC_Rank","Delta_AIC","Delta_BIC","AIC_Weight"
"pH","Study-Level (All)","Intercept-only",3,3,2,6.1429,-8.2858,-10.8995,-0.0167,-1.66,1e-04,99.21,253.5432,0,3.5,3.5,50.7971,46.2662,0
"pH","Study-Level (No Outliers)","Intercept-only",3,3,2,6.1429,-8.2858,-10.8995,-0.0167,-1.66,1e-04,99.21,253.5432,0,3.5,3.5,50.7971,46.2662,0
"Sugar","Nested (All)","Intercept-only",43,3,3,31.7918,-57.5837,-52.3706,0.0686,7.1,0.0164,89.99,361.8601,0,1.5,1.5,0,0,0.5
"Sugar","Nested (No Outliers)","Intercept-only",43,3,3,31.7918,-57.5837,-52.3706,0.0686,7.1,0.0164,89.99,361.8601,0,1.5,1.5,0,0,0.5
"Sugar","Study-Level (All)","Intercept-only",3,3,2,2.1325,-0.2649,-2.8786,0.0696,7.2,0.0052,72.65,7.7894,0.0203,3.5,3.5,57.3188,49.492,0
"Sugar","Study-Level (No Outliers)","Intercept-only",3,3,2,2.1325,-0.2649,-2.8786,0.0696,7.2,0.0052,72.65,7.7894,0.0203,3.5,3.5,57.3188,49.492,0
"SAR","Nested (All)","Intercept-only",105,6,3,91.5509,-177.1019,-169.1687,0.1829,20.07,0.0262,94.4,10462.7589,0,2,2,6.87629999999999,6.90530000000001,0.0311
"SAR","Nested (No Outliers)","Intercept-only",104,6,3,94.9891,-183.9782,-176.074,0.1786,19.55,0.0247,94.16,10402.7952,0,1,1,0,0,0.9689
"SAR","Study-Level (All)","Intercept-only",6,6,2,2.4923,-0.9846,-1.7657,0.1852,20.35,0.021,98.71,470.2934,0,4,4,182.9936,174.3083,0
"SAR","Study-Level (No Outliers)","Intercept-only",6,6,2,2.6452,-1.2905,-2.0716,0.1801,19.73,0.0198,98.64,466.3349,0,3,3,182.6877,174.0024,0
"Firmness","Nested (All)","Intercept-only",15,2,3,24.6257,-43.2514,-41.3342,0.0156,1.57,0.0015,85.29,165.5384,0,1.5,1.5,0,0,0.5
"Firmness","Nested (No Outliers)","Intercept-only",15,2,3,24.6257,-43.2514,-41.3342,0.0156,1.57,0.0015,85.29,165.5384,0,1.5,1.5,0,0,0.5
"Firmness","Study-Level (All)","Intercept-only",2,2,2,2.6925,-1.385,-5.385,0.012,1.21,0,0,0.9797,0.3223,3.5,3.5,41.8664,35.9492,0
"Firmness","Study-Level (No Outliers)","Intercept-only",2,2,2,2.6925,-1.385,-5.385,0.012,1.21,0,0,0.9797,0.3223,3.5,3.5,41.8664,35.9492,0
"Lyco","Nested (All)","Intercept-only",101,4,3,172.3753,-338.7505,-330.935,0.0872,9.11,0.0017,88.88,1971.5356,0,2,2,15.2067,15.2369,5e-04
"Lyco","Nested (No Outliers)","Intercept-only",100,4,3,179.9786,-353.9572,-346.1719,0.0853,8.91,0.0014,86.52,1670.5432,0,1,1,0,0,0.9995
"Lyco","Study-Level (All)","Intercept-only",4,4,2,10.2571,-16.5142,-18.317,0.0906,9.48,0,0,1.3575,0.7155,3,3,337.443,327.8549,0
"Lyco","Study-Level (No Outliers)","Intercept-only",4,4,2,7.6217,-11.2435,-13.0462,0.081,8.44,3e-04,76.54,12.0412,0.0072,4,4,342.7137,333.1257,0
"VC","Nested (All)","Intercept-only",152,8,3,144.6514,-283.3029,-274.251,0.0793,8.26,0.0223,96.24,2911.1101,0,2,2,116.5464,116.752,0
"VC","Nested (No Outliers)","Intercept-only",142,7,3,202.9247,-399.8493,-391.003,0.1215,12.92,0.0025,74.82,1469.6522,0,1,1,0,0,1
"VC","Study-Level (All)","Intercept-only",8,8,2,4.1585,-4.317,-4.4251,0.0784,8.15,0.017,97.28,156.8146,0,4,4,395.5323,386.5779,0
"VC","Study-Level (No Outliers)","Intercept-only",7,7,2,12.5558,-21.1115,-21.528,0.1181,12.53,4e-04,49.73,11.5895,0.0718,3,3,378.7378,369.475,0
